Run,international_trade,max_eff,eutax,neighbor_influence,tax_influence,member_trade_multiplier,tax_distribution,member_count,other_count,average_cooperativeness,other_wealth,total_wealth,member_wealth,other_eff,total_eff,member_eff,gini_coefficient,stdev_agent_cooperativeness
1886,False,0.7294921875,0.559716796875,0.06533203125,0.19033203125,1.757763671875,0.9076171875,143.0,177.0,-0.10625,30308.962530026427,27401.734429410637,23803.277269907165,2.0366353984688557,1.5101907871890063,0.8585775270733891,0.1734287563244441,0.9943394478245344
720,False,1.5498046875,0.237451171875,0.17548828125000002,0.18330078125,1.899560546875,0.9658203125,191.0,129.0,0.18667755126953128,41630.23602285143,34627.66223067747,29898.175219209203,3.037377558162935,1.844766930346665,1.0392864539681372,0.21274624820707932,0.9741347380872855
2757,False,0.0615234375,0.338037109375,0.01025390625,0.17587890625000002,1.2646972656250002,1.0775390625,2.0,318.0,-0.9909329223632813,24718.85237197424,24737.686459570028,27732.306387300083,1.4972351363003173,1.4982373028610494,1.6575817860174697,0.043126945384805576,0.12229997773812554
4215,False,0.9013671875,0.382958984375,0.19599609375,0.05654296875000001,1.681494140625,1.0740234375,171.0,149.0,0.039948425292968555,256850.3155644519,2925976175059.3564,5475510747066.064,1.5743312742891131,1.5664535296038102,1.5595892959306519,1.972356668173323,0.9707880821482926
1592,False,0.2451171875,0.352685546875,0.023144531250000003,0.11376953125,1.989794921875,1.0642578125,1.0,319.0,-0.99375,25224.601198280066,25258.491861715833,36069.613497725186,1.4638468327826708,1.4655581934841055,2.0114822572417745,0.1366805398020831,0.11162856937182344
5085,False,0.5830078125,0.479150390625,0.02568359375,0.02138671875,1.991943359375,1.0357421875,294.0,26.0,0.8193408203125028,1241855.986493715,252578316.17138076,274805350.06528234,1.503949861023582,1.5348418722331647,1.5375738188027197,1.896944345413929,0.5410776065948523
4499,False,1.8173828125,0.240869140625,0.12080078125,0.01982421875,1.879150390625,0.8513671875000001,280.0,40.0,0.7478317260742188,31456.110435154267,38541.301461089926,39553.47160765216,2.131553312742329,1.8929374507840901,1.8588494705043417,0.09356538153072261,0.65505247985551
1305,False,0.6318359375,0.422998046875,0.00751953125,0.19814453125,1.697607421875,0.9580078125,231.0,89.0,0.439873046875,32730.73762982597,29751.600387914124,28603.794264406963,2.2399705959187135,1.5040806108624407,1.220555898005262,0.06934787484787508,0.8948723753315032
3339,False,1.3974609375,0.402490234375,0.11318359375,0.19228515625,1.716943359375,1.0978515625,1.0,319.0,-0.99375,26762.800251441928,26887.370031604398,66625.12990343155,1.6395849952933699,1.650434509794728,5.111429635728008,0.4671779895203808,0.11162856937182344
2180,False,0.2607421875,0.223779296875,0.16845703125,0.01318359375,1.121826171875,0.9048828125,246.0,74.0,0.5360580444335937,25227.066578344526,25764.807620608823,25926.567121127347,1.553683363017668,1.505788510347497,1.4913811156418357,0.04103648276916696,0.8381966907735661
3924,False,1.7255859375,0.140771484375,0.09853515625,0.17841796875000002,1.450537109375,0.8572265625000001,77.0,243.0,-0.51875,33784.07939637199,29923.631810949482,17740.660859551168,2.3746826509569336,1.918196785150905,0.47759853332149077,0.4296588280492171,0.8549259836383497
425,False,0.2958984375,0.428857421875,0.17080078125,0.15361328125,1.684716796875,1.1251953125,298.0,22.0,0.7213677978515658,23837.878385912398,2.1536975445778015e+22,2.312695349882203e+22,1.4971868679607154,1.5155233659325922,1.5168770671251468,1.982321836663388,0.46802123518914407
6249,False,0.9033203125,0.504541015625,0.19052734375,0.02685546875,1.135791015625,0.8560546875,246.0,74.0,0.5320449829101562,26940.135964035668,25662.34018637589,25277.962594722136,1.7251192419620716,1.4803810400860908,1.4067606053754298,0.10603734863435184,0.8328169353551629
4796,False,0.0361328125,0.561181640625,0.17099609375000002,0.16689453125,1.071337890625,0.9701171875,320.0,0.0,0.9614056396484374,0.0,25438.618858515772,25438.618858515772,0.0,1.4961788239526346,1.4961788239526346,0.0025074021287451584,0.07036805403605635
5670,False,0.7470703125,0.102197265625,0.03271484375,0.13466796875,1.763134765625,0.8236328125000001,187.0,133.0,0.17075592041015625,32407.08590300285,29533.21199283884,27489.226805395985,2.1791167810191947,1.5264045370461576,1.0621760426696123,0.11039765034233592,0.9839299589736914
5957,False,0.2314453125,0.309228515625,0.08115234375000001,0.16123046875000002,1.446240234375,0.9748046875,314.0,6.0,0.9547955322265625,30898.399998824967,29959.836046015465,29941.90170296815,2.015094539615936,1.4939540995132368,1.4839960019316565,0.012416821601347208,0.2787579599229466
3048,False,1.8427734375,0.533349609375,0.11962890625,0.01025390625,1.085302734375,1.1962890625,147.0,173.0,-0.0859283447265625,33310.566402006654,3.759044977582101e+42,8.182955053239947e+42,2.0419666594490864,2.042405350518663,2.042921633205988,1.9937500000000277,0.9916186774298169
140,False,1.251953125,0.53896484375,0.0974609375,0.1451171875,1.51767578125,1.025390625,1.0,319.0,-0.99375,26533.76352757358,26656.403095772483,65778.42535122277,1.6174402067334817,1.6287439543348536,5.234639439172531,0.4525702797868512,0.11162856937182344
5379,False,0.4033203125,0.172509765625,0.04501953125,0.15029296875,1.505322265625,1.0841796875,1.0,319.0,-0.99375,25343.95215221419,25392.323538179113,40822.795660989534,1.526549345174077,1.5307589966011066,2.8736378018235955,0.19526056597811434,0.11162856937182344
721,False,1.6865234375,0.237451171875,0.17548828125000002,0.18330078125,1.899560546875,0.9658203125,179.0,141.0,0.11612640380859376,40917.705888344324,34237.521511765095,28975.47683524178,2.955186178101666,1.8259652222370817,0.9364671508577167,0.2333259922127217,0.9917006141915263
2758,False,0.0615234375,0.338037109375,0.01025390625,0.17587890625000002,1.927490234375,0.8724609375000001,320.0,0.0,1.0,0.0,36508.84298364083,36508.84298364083,0.0,1.5060525403080272,1.5060525403080272,0.0013561733726591067,0.0
2467,False,0.5771484375,0.271630859375,0.11552734375,0.01181640625,1.936083984375,0.9181640625,253.0,67.0,0.5832070922851573,24559.749159335766,33421.14406764507,35767.83758091276,1.4812232135093992,1.496948564475518,1.5011129854823557,0.12709152970102203,0.8088364728777016
1593,False,1.9755859375,0.352685546875,0.023144531250000003,0.11376953125,1.989794921875,1.0642578125,1.0,319.0,-0.99375,32492.768256641208,32685.795363857615,94261.44256589223,2.1476057659284957,2.1639970207511476,7.392807309177101,0.5548058802913022,0.11162856937182344
3632,False,1.2412109375,0.347802734375,0.03759765625,0.07041015625000001,1.6997558593750002,0.8791015625,133.0,187.0,-0.17074157714843752,31980.70535189812,27612.756539154703,21471.35482499667,2.2099197538952198,1.5474676747788456,0.616050089855823,0.2816762708915984,0.9833517242578239
1012,False,1.3310546875,0.292138671875,0.19111328125,0.17021484375,1.641748046875,1.0595703125,296.0,24.0,0.7042535400390657,21521.322605647027,668293922.5201215,722478171.265866,1.2218955642338585,1.686417288488855,1.724081212077098,1.9274239406301834,0.487177834399247
4500,False,1.8173828125,0.240869140625,0.06162109375,0.19501953125,1.879150390625,0.8513671875000001,156.0,164.0,-0.025,37215.560455838706,30949.308583669474,24361.710461645413,2.688857170650669,1.7752683843328392,0.8148288910243505,0.3050159855895582,0.9996874511566102
5086,False,0.5830078125,0.479150390625,0.02568359375,0.02138671875,1.148681640625,1.0876953125,186.0,134.0,0.15053680419921833,23655.15306202402,4.338659221024557e+17,7.464359950149605e+17,1.4971519320632267,1.4676943525659012,1.446472225401161,1.9734985662170104,0.9765593338266066
1306,False,0.9013671875,0.149560546875,0.00751953125,0.19814453125,1.697607421875,0.9580078125,173.0,147.0,0.08125,32892.36145950514,28506.81828613334,24780.374086794298,2.2128777513236013,1.48762543202443,0.8713705711170415,0.1911482079249883,0.9966937531157702
3340,False,1.3974609375,0.402490234375,0.17822265625,0.15185546875,1.716943359375,1.0978515625,244.0,76.0,0.413006591796875,33739.32661984998,1.692398691802778e+17,2.219539267937964e+17,1.647169642007694,1.622236123317552,1.6144699453648845,1.9692122338026068,0.7889521850059578
4216,False,0.3818359375,0.445458984375,0.18291015625,0.16572265625000002,1.192724609375,0.9634765625,279.0,41.0,0.7126770019531243,25092.809556972887,26915.352089569544,27183.18092052461,1.5461402635264083,1.5250949061470087,1.522002219220287,0.03889986757727521,0.6164400874847634
2181,False,0.2607421875,0.223779296875,0.16845703125,0.16220703125000002,1.249658203125,0.9048828125,317.0,3.0,0.9467810058593749,28605.62479591668,27614.6114318862,27605.232756516823,2.0410543388805316,1.4913471632037467,1.486144887093241,0.0062143854031832075,0.2006460861127985
6250,False,1.8876953125,0.294580078125,0.19052734375,0.02685546875,1.135791015625,0.8560546875,177.0,143.0,0.10853179931640625,31759.887088908756,31628.751457375336,31522.805721164725,2.1326152984315243,2.0559996178655906,1.9941010736795544,0.3020963585050957,0.9808780375523596
4797,False,0.0361328125,0.561181640625,0.17099609375000002,0.19169921875,1.192724609375,0.9701171875,320.0,0.0,0.9984136962890625,0.0,26988.57805721896,26988.57805721896,0.0,1.4980144144754786,1.4980144144754786,0.0025961679544719866,0.020268612169787554
1887,False,0.0224609375,0.114404296875,0.03701171875,0.01005859375,1.7480957031250002,0.9076171875,289.0,31.0,0.8072244262695305,24734.206359830696,32845.925930967234,33716.041179082225,1.5038347010885549,1.5027861907494544,1.5026737207822844,0.05221620762559089,0.5885997574351761
5958,False,0.2314453125,0.309228515625,0.08115234375000001,0.16123046875000002,1.943603515625,1.1392578125,1.0,319.0,-0.99375,24951.39958444487,24991.020909917377,37630.223735647356,1.477794741269724,1.4802930527289608,2.2772544082254114,0.12637915468916272,0.11162856937182344
3925,False,1.7255859375,0.140771484375,0.09853515625,0.043847656250000006,1.114306640625,0.8572265625000001,168.0,152.0,0.0516796875,29462.68559200653,29215.23641203462,28991.353820631462,1.9107999092254109,1.8396405453835443,1.775258263812331,0.2838873115116617,0.977937742218009
141,False,1.251953125,0.53896484375,0.0974609375,0.1041015625,1.5090820312500002,1.025390625,1.0,319.0,-0.99375,27747.757204309386,28125.35264135021,148578.29705737304,1.6357697763245491,1.6463100618503173,5.0086611445703575,0.6809646848085705,0.11162856937182344
722,False,1.5498046875,0.288232421875,0.17548828125000002,0.18330078125,1.899560546875,0.9658203125,166.0,154.0,0.0361083984375,38880.78118841079,33404.2047493212,28323.525402214003,2.7666657516629387,1.7862033400297481,0.8766177292375109,0.21316826758000249,0.998247289045595
